"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.893,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,8.3,0.0,0.0,0.0,0.0,53.4,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,8.3,0.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.893,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
31.893,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.979,0.000,0.000,0.000,0.000,0.966,0.012,0.978,0.000,0.000,0.000,0.000,0.978,0.000,0.000,0.977,0.000,0.000,0.000,0.000,0.000,0.977,0.000,0.976,0.000,0.000,0.000,0.000,0.000,0.976,0.000
32.894,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,21.1,0.0,0.0,43.4,0.0,0.0,5.6,18.9,0.0,0.0,0.0,0.0,3.9,0.0,0.0,13.9,0.0,0.0,0.0,9.5,0.0,0.0,19.5,28.4,0.0,0.0,0.0,0.0,0.0,9.5,0.0
32.894,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0
32.894,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.880,0.000,0.000,0.119,1.000,0.000,0.000,0.000,0.000,0.954,0.000,0.046,1.000,0.000,0.000,0.000,0.278,0.000,0.055,0.666,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
33.895,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,34.5,0.0,0.0,25.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,8.3,0.0,0.0,11.7,29.5,0.0,0.0,12.8,21.1,0.0,0.0,0.0,13.3,0.0,8.3,13.3,0.0,0.0,51.7,8.9
33.895,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1
33.895,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.280,0.000,0.000,0.719,0.553,0.000,0.000,0.446,1.000,0.000,0.000,0.000,0.288,0.000,0.278,0.433,0.000,0.000,0.821,0.178
34.896,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,18.3,0.0,0.0,27.8,0.0,0.0,20.0,0.0,0.0,0.0,12.2,26.1,0.0,0.0,0.0,0.0,0.0,35.0,5.0,11.7,0.0,0.0,0.0,0.0,0.0,23.9,4.4,0.0,45.6,0.0,5.6
