* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\New Folder\KB_20230821_salbutamolExp1_2_nagluhomxhet7m_genotyping.eds
* Experiment Run End Time = 2023-08-21 10:16:59 AM PDT
* Instrument Type = steponeplus
* Passive Reference = 

[Sample Setup]
Well	Sample Name	Sample Color	Biogroup Name	Biogroup Color	Target Name	Target Color	Task	Reporter	Quencher	Comments
A1					naglu	"RGB(139,189,249)"	NTC	SYBR	None	
A2	het pos control	"RGB(247,255,168)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A3	hom pos control	"RGB(180,255,0)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A4	Sample 1	"RGB(132,193,241)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A5	Sample 2	"RGB(168,255,222)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A6	Sample 3	"RGB(223,221,142)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A7	Sample 4	"RGB(247,255,168)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A8	Sample 5	"RGB(180,255,0)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A9	Sample 6	"RGB(255,204,153)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A10	Sample 7	"RGB(253,138,88)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A11	Sample 8	"RGB(213,244,165)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
A12	Sample 9	"RGB(96,255,160)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
B1	Sample 10	"RGB(132,193,241)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
B2	Sample 11	"RGB(168,255,222)"			naglu	"RGB(139,189,249)"	UNKNOWN	SYBR	None	
