"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"1","1","1",0,1,2,0,2,0,0,1,2,1,0,0,1,0,1,0,9,5,14,0,0,0,0,35.7142857142857,64.2857142857143
"2","1","2",23,8,6,2,6,2,1,2,7,1,2,1,2,1,2,1,52,18,70,24,4,34.2857142857143,5.71428571428571,25.7142857142857,74.2857142857143
"3","1","3",6,7,8,4,10,88,4,4,7,5,89,4,3,5,4,0,133,118,251,6,177,2.39043824701195,70.5179282868526,47.0119521912351,52.9880478087649
"4","1","4",28,14,16,4,17,7,2,2,14,6,8,0,3,1,2,1,93,35,128,29,15,22.65625,11.71875,27.34375,72.65625
"5","1","5",18,11,10,3,12,16,4,0,11,2,18,1,1,3,0,0,76,37,113,18,34,15.929203539823,30.0884955752212,32.7433628318584,67.2566371681416
"6","1","6",9,6,6,0,6,8,0,0,6,0,7,0,0,0,0,0,36,15,51,9,15,17.6470588235294,29.4117647058824,29.4117647058824,70.5882352941177
"7","10","1",9,13,12,12,14,15,11,6,13,11,17,5,11,7,6,2,94,73,167,11,32,6.58682634730539,19.1616766467066,43.7125748502994,56.2874251497006
"8","10","2",10,10,14,9,17,26,10,6,10,13,28,7,6,10,6,5,103,87,190,15,54,7.89473684210526,28.4210526315789,45.7894736842105,54.2105263157895
"9","10","3",0,2,6,3,6,30,9,8,2,7,29,15,3,14,8,13,65,93,158,13,59,8.22784810126582,37.3417721518987,58.8607594936709,41.1392405063291
"10","10","4",2,5,5,7,6,9,5,8,5,6,10,6,5,7,8,3,48,52,100,5,19,5,19,52,48
"11","10","5",6,7,4,4,6,2,5,2,7,1,3,4,2,5,2,1,37,27,64,7,5,10.9375,7.8125,42.1875,57.8125
"12","10","6",6,5,5,5,4,2,4,4,5,5,1,3,7,2,5,5,37,34,71,11,3,15.4929577464789,4.22535211267606,47.887323943662,52.112676056338
"13","11","1",4,5,6,10,1,8,15,9,4,11,3,15,14,10,9,13,59,81,140,17,11,12.1428571428571,7.85714285714286,57.8571428571429,42.1428571428571
"14","11","2",4,5,7,7,6,9,5,12,5,9,8,11,7,10,12,16,56,80,136,20,17,14.7058823529412,12.5,58.8235294117647,41.1764705882353
"15","11","3",14,6,10,8,7,6,7,11,6,12,3,11,11,8,11,9,70,73,143,23,9,16.0839160839161,6.29370629370629,51.048951048951,48.951048951049
"16","11","4",2,4,6,5,5,8,1,11,4,6,8,7,5,7,11,16,44,65,109,18,16,16.5137614678899,14.6788990825688,59.6330275229358,40.3669724770642
"17","11","5",3,3,6,4,6,6,2,4,4,6,6,2,4,2,4,7,37,35,72,10,12,13.8888888888889,16.6666666666667,48.6111111111111,51.3888888888889
"18","11","6",0,0,2,2,1,13,5,2,0,4,12,5,4,3,2,2,27,33,60,2,25,3.33333333333333,41.6666666666667,55,45
"19","12","1",27,5,5,2,6,4,2,0,5,2,5,0,1,1,0,0,54,14,68,27,9,39.7058823529412,13.2352941176471,20.5882352941176,79.4117647058823
"20","12","2",39,4,3,1,4,1,1,0,4,0,2,0,0,1,0,0,56,7,63,39,3,61.9047619047619,4.76190476190476,11.1111111111111,88.8888888888889
