* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\20240112 KB naglu genotyping salbutamol exp 1-3.eds
* Experiment Run End Time = 2024-01-12 07:20:34 AM PST
* Instrument Type = steponeplus
* Passive Reference = 

[Melt Region Normalized Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14	Reading 15	Reading 16	Reading 17	Reading 18	Reading 19	Reading 20	Reading 21	Reading 22	Reading 23	Reading 24	Reading 25	Reading 26	Reading 27	Reading 28	Reading 29	Reading 30	Reading 31	Reading 32	Reading 33	Reading 34	Reading 35	Reading 36	Reading 37	Reading 38	Reading 39	Reading 40	Reading 41	Reading 42	Reading 43	Reading 44	Reading 45	Reading 46	Reading 47	Reading 48	Reading 49	Reading 50	Reading 51	Reading 52	Reading 53	Reading 54	Reading 55	Reading 56	Reading 57	Reading 58	Reading 59	Reading 60	Reading 61	Reading 62	Reading 63	Reading 64	Reading 65	Reading 66	Reading 67	Reading 68	Reading 69	Reading 70	Reading 71	Reading 72	Reading 73	Reading 74	Reading 75	Reading 76	Reading 77	Reading 78	Reading 79	Reading 80	Reading 81	Reading 82	Reading 83	Reading 84	Reading 85	Reading 86	Reading 87	Reading 88	Reading 89	Reading 90	Reading 91	Reading 92	Reading 93	Reading 94	Reading 95	Reading 96	Reading 97	Reading 98	Reading 99	Reading 100	Reading 101	Reading 102	Reading 103	Reading 104	Reading 105	Reading 106	Reading 107	Reading 108	Reading 109	Reading 110	Reading 111	Reading 112	Reading 113	Reading 114	Reading 115	Reading 116	Reading 117	Reading 118
1	A1	naglu	SYBR	117039.2734	116412.75	115959.8828	115118.1953	114212.0859	113363.1797	112386.6328	111528.8359	110827.1172	109675.3438	108997.5234	108104.1719	107370.0312	106651.2969	105406.3125	104602.9062	103383.4219	102162.8594	100852.0312	99730.3906	98605.8828	97652.0312	96392.9141	95120.8203	93762.0938	92551.1562	91423.5078	90125.2656	89013.2266	87966.4531	86732.0391	85634.125	84504.3125	83459.4766	82278.8828	81019.1016	80121	79056.6172	78061.5	76782.9531	75792.3438	74808.25	73664.3047	72791.7188	71827.8906	70684.5781	69799.5938	68681.6875	67731.9062	66820.1797	65874.1875	64827.2812	63891.6094	63007.0156	61992.2578	61075.1797	60089.7422	59213.5703	58348.4609	57308.1875	56345.0859	55368.043	54372.8125	53153.9062	52357.6602	51365.9766	50471.5625	49510.9961	48608.4258	47707.7969	46578.4727	45676.7852	44752.2891	43791.8789	42710	41819.582	40683.0039	39614.8242	38539.5195	37386.293	36238.0078	35109.2461	33967.5781	32604.3125	31175.625	29815.3691	28306.1953	26863.4551	25257.8965	23555.8301	21821.3672	20040.832	18162.8594	16420.0508	14600.4277	12854.4053	11149.5488	9522.7031	7994.3315	6595.2744	5300.2568	4099.0117	3137.2402	2337.9009	1707.2256	1221.5841	840.6309	454.7922	91.6483	-274.5895	-612.6616	-1008.8372	-1359.7107	-1632.845	-1867.9978	-2080.4009	-2301.9697	-2403.1626
2	A2	naglu	SYBR	113596.7188	112811.9531	111860.4375	111043.8203	110227.1641	109388.6875	108511.9375	107659.6719	106915.0312	106218	105504.0938	104472.6875	103553.0234	102725.7969	101477.4141	100437.2578	99104.9062	97815.7344	96624.6797	95343.1328	94106.1953	92788.875	91715.375	90231.625	89074.9219	88014.7188	86928.5703	85667.8281	84457.4922	83319.125	82339.75	81310.7266	80197.0156	78906.125	77806.7656	76837.6094	75677.7578	74504.8359	73619.375	72540.2656	71380.2266	70486.1328	69372.4609	68522.1875	67361.0703	66375.0234	65611.5625	64546.4961	63615.6172	62690.8125	61858.3281	60902.8203	59861.375	58980.3047	58173.6641	57227.9805	56256.8125	55361.0352	54549.6016	53546.5547	52638.7148	51655.5625	50719.1719	49757.3828	48917.2266	48180.125	47224.3242	46411.7969	45452.2617	44478.6797	43626.6445	42693.043	41700.9297	40774.7188	39787.0742	38742.9531	37804.2812	36714.1562	35656.0078	34568.3125	33512.6133	32344.793	31197.3633	29866.873	28589.582	27210.418	25846.5332	24411.5332	22923.6055	21342.0664	19644.3906	17948.9512	16194.0215	14494.5742	12766.2676	11060.4463	9457.4609	7928.3447	6513.7324	5181.2388	3963.1775	2915.6978	2007.2745	1279.184	741.0571	286.8212	-109.0837	-417.3484	-731.9661	-1057.0442	-1404.1484	-1793.1328	-2063.4578	-2308.3735	-2514.5342	-2713.8892	-2861.1853	-2984.0854
3	A3	naglu	SYBR	117427.6719	116844.875	116049.9219	115315.3125	114388.1406	113691.1875	112878.6094	112000.6094	111230.75	110364.6406	109392.6016	108435.7344	107167.5703	105954.9453	104786.0078	103655	102330.5234	100949.1641	99564.1719	98297.2812	97045.7734	95750.7266	94335.3125	93108.6562	92002.9062	90694.2344	89465.4375	88267.3438	87064.8828	85865.4141	84728.5078	83652.4609	82490.0781	81262.9766	80229.2656	79117.375	77949.7344	76853.8984	75838.5938	74671.2344	73637.3906	72579.8906	71589.1094	70473.9531	69429.9141	68431.4062	67476.2812	66470.7969	65537.3906	64601.9414	63637.5273	62659.1445	61680.0391	60817.1016	59824.5469	58909.6836	57938.9492	57044.5469	56115.4062	55215.8281	54313	53426.0742	52497.8867	51560.1484	50632.3984	49655.8438	48761.7773	47849.6367	46881.0117	45921.1445	44970.7344	43946.7227	43000.293	41994.6094	41023.6875	40027.8906	38918.7188	37834.1562	36775.875	35608.2383	34462.5195	33255.0469	31990.8008	30659.0566	29256.3594	27872.1191	26364.7266	24823.4258	23296.125	21556.0273	19700.1113	17914.5234	16103.332	14283.6289	12474.5791	10725.4941	9038.5713	7501.0879	5973.1953	4625.1143	3383.9185	2308.9382	1472.2559	777.3918	244.9785	-189.4057	-551.7867	-886.2932	-1243.7319	-1596.8435	-1978.3737	-2323.9277	-2594.7239	-2818.4111	-3058.7876	-3246.7324	-3352.0662	-3469.332
4	A4	naglu	SYBR	316140.1875	317811.0938	318279.6875	318211.4375	318100.8125	317670.1562	317103.5	315881.875	315204.875	314225	313114.7188	311760.375	310625.875	308773.625	306834.5625	304771.2188	302376.7188	300282.7188	297346.6562	294769.625	291964.6875	289411.875	286391.5625	283845.75	280795.5938	277657.6875	274646.625	271241.0938	267239.5938	263027.125	259178.2969	254827.7344	251591.8438	248690.9688	246902.6406	245411.2188	245119.7812	244481.6562	243645.4062	242251.6875	240709.2031	239127	236928.7812	234813.5	232116.4844	229339.5312	226344.8125	222536.2812	218407.9062	213498.5625	207338.125	200307.7812	193420.9688	186829.2812	180645.3438	176074.5312	171817.4531	168245.875	164314.9375	160217.5938	155719.2188	150559.3125	143863.9375	135896.0312	125936.0938	114805.6406	103093.3672	91313.0312	80037.0781	70025.2578	61594.8203	55266.9414	51020.6797	48278.8828	46337.0625	44917.8086	43475.3594	42197.3125	40980.0781	39717.3281	38447.7188	37102	35672.9453	34164.207	32628.3477	31086.1016	29474.2324	27842.0742	26192.8496	24367.5039	22542.7949	20647.3887	18858.5176	17172.5605	15430.4023	13784.5283	12205.96	10751.0078	9429.2559	8203.9316	7186.0488	6260.1113	5542.2324	4937.9355	4373.0762	3907.0986	3461.9807	3026.9966	2639.9666	2296.3828	2033.4188	1781.8774	1582.2427	1446.5562	1303.7507	1208.454	1139.2529	1081.9183
5	A5	naglu	SYBR	281936.4375	285191.5312	286878.7188	287481.75	287879.6875	287639.3438	287150.0625	286454	285487.2812	284562.75	283383.75	282040.1875	280550.8438	278863.0625	277005.8125	275262.6875	273205.6562	271128.5938	268945.8438	266555.875	264231.0625	261654.1719	259338.6562	256981.4844	254372.9375	251892.875	249557.9531	247003.6719	244633.3438	242115.7969	239826.5938	237429.6406	234996.0625	232324.4688	229919.7969	227397.5	225001.7656	222407.8125	219839.7188	217497.7656	214892.75	212355.25	209712.3906	206790.1562	203907.25	200712.9844	197500.2812	193794.0312	189740.2969	185084.3438	179446.9844	172750.7812	164775.5781	155288	144665.6406	133511.4531	121836.3125	110720.875	99742.9375	89290.5156	80183.2031	72348.3359	65980.3672	61145.4766	57791	55528.082	53896.2891	52490.3125	51271.6797	50156.3828	49055.9102	47952.7695	46922.3789	45840.8398	44804.7539	43691.1406	42547.8438	41359.0625	40209.2891	39024.8438	37808.0195	36587.9219	35322.9727	33945.957	32518.1855	31085.3965	29590.8652	28105.7051	26489.0254	24828.252	23084.1582	21306.9727	19531.7969	17744.4824	16000.4746	14288.2305	12653.083	11040.2207	9571.3096	8158.4443	6913.0679	5773.4941	4853.5815	4072.4507	3429.314	2905.6694	2445.0801	2049.0891	1641.1782	1262.5836	866.6873	521.6759	200.1765	-57.7679	-289.6986	-489.7141	-653.6372	-775.0715
6	A6	naglu	SYBR	329459.625	330717.125	331663.875	331517.25	331224.9375	330690.5938	329677.0625	329255.9062	328120.9062	327507.7188	326379.3125	325172.6562	324001.5312	323406.5	321917.75	320424	318608.25	316208.0938	314140.9375	311410.5625	308713.25	305570.5	303042.25	300608.4375	297205.6875	294219.5	290795.1875	287442.0312	283643.4375	279001.75	275150	270763.25	266950.5	263670.8125	260723.7812	259043.8438	258000.7656	257278.4375	256630.9375	255645.0625	254229	252552.7188	250832.9531	248093.7656	245843.6719	243373.6562	240462.5625	236912.0312	233199.4688	228534.0625	223000.2812	216623.4844	209731.625	202415.3125	195257.3594	189394.4844	184348.625	180111.6875	176194.7656	171820.5	167651.1875	162975.1719	157256.9844	150382.75	141564.3438	131230.3906	119631.7969	107041.1094	94536.8516	82322.9609	71653.2266	62226.9062	55172.3516	50399.0977	47165.4219	44884.6016	43298.3359	41855.5938	40553.3672	39245.4219	38048.5664	36762.1797	35414.5234	33993.3281	32534.5957	30964.4844	29427.5312	27845.0059	26192.6758	24440.7031	22590.1211	20680.9941	18823.7148	16978.1836	15158.7266	13390.873	11724.9209	10066.4004	8579.7783	7131.2964	5862.5059	4685.0771	3766.3862	2956.3809	2266.6123	1746.8694	1247.0978	802.104	368.3122	-15.3674	-339.9909	-669.6406	-938.299	-1141.0284	-1315.7642	-1432.3445	-1558.8513	-1617.8146
7	A7	naglu	SYBR	311471.4375	313435.9688	314406.8125	314915.5625	314586.8438	314086.0312	313197.8125	312420.9375	311885.0625	310387.5938	309061.6562	307551.5938	305987.2188	304092.125	302024.0625	299918.2188	297363.125	295225.625	292556.4375	290009.9375	287489.0625	284558.375	281546.7812	279200.4688	276458.875	273416.25	270322.1875	266999.75	263637.25	259811.8438	255830.0312	251286.9219	247226.5938	243458.4531	240500.2812	237885.2812	236342.0312	235399.9375	234677.7812	233668.3125	232786.7969	231143.4375	229578.375	227678.1875	225706.25	223069.1875	220515.4688	217863.6562	214542.5	210295.9531	205518.9531	199620.6562	193457.9531	186656.1875	180028.4062	174361.4688	169779.6094	166058.5625	162127.8281	158394.625	154347.2031	150146.7344	144826.5312	138447.5625	130284.5781	120802.5391	109986.3359	98363.7656	87009.5938	76350.2266	67115.1797	59527.8516	54191.0781	50832.9414	48534.7188	46865.7188	45455.2188	44051.9297	42788.9766	41586.6523	40288.3125	38915.4688	37501.0078	36067.7578	34529.1719	32925.2891	31262.8125	29652.6758	27892.5508	26044.6211	24086.1836	22143.1934	20209.3398	18353.8496	16373.0254	14545.1895	12769.3887	11071.459	9440.1045	7939.4453	6619.3037	5439.2217	4450.7734	3602.167	2926.312	2344.6597	1785.0642	1262.9196	765.48	272.4132	-166.6177	-561.5604	-853.928	-1103.2317	-1307.5151	-1443.3634	-1560.1833	-1616.2003
8	A8	naglu	SYBR	122553.0938	123806.2031	124653.0312	125179.9688	125889.625	126310.5312	126480.0156	126372.7969	126390.9531	126479.5234	126431.2188	126370.7578	126324.9531	126163.1328	125996.5547	125842.9062	125714.3438	125478.4062	125287.0078	124950.375	124566.6406	124210.2188	123528.1484	122941.9844	122175.6641	121283.6641	120027.9297	118436.75	117008.4766	115029.3125	113129.9688	111331.5781	109885.2656	108536.1641	107671.7188	106855.3281	106607.1875	106090.6094	105513.4688	104851.4609	104002.75	103260.2109	102384.0469	101540.9922	100427.1875	99292.0156	97863.6016	96436.4453	94861.0156	92658.4688	90301.6406	87672.8125	85041.6875	82456.3203	80185.3438	78359.2656	76858.0234	75289.1484	73542.5547	71710.3906	69409.5312	67108.0781	63882.7031	59990.8672	55393.1797	50513.9688	45551.3477	40586.8047	36122.5742	32391.8613	29511.4844	27486.5801	26197.3555	25427.9102	24736.0156	24149.6328	23533.2188	22961.9141	22406.1543	21875.8047	21275.002	20667.5918	20026.2422	19347.9883	18588.6953	17881.1543	17149.4395	16386.2734	15632.7402	14765.7393	13956.7637	13135.4551	12309.0449	11540.2217	10775.6523	10065.3799	9374.6133	8735.4121	8122.7734	7604.6606	7168.2524	6721.6836	6426.9883	6132.1904	5865.9072	5622.8545	5453.0464	5216.3813	5062.7402	4888.2393	4762.1431	4618.3359	4543.8525	4443.2612	4370.0449	4295.2119	4256.6924	4213.6035
9	A9	naglu	SYBR	339714.1562	340964.3438	341213.5625	341669.8125	340421.5938	340479.6875	339494.25	338648.875	337781.0625	336360.9375	335704.1875	335416.4375	334286.1875	332788.8125	331612.4688	329872.0312	327623.5	325217.9062	322773.3125	320260.0625	317930.25	315010.9688	312003.6875	309520.25	306554.0938	303427.2188	300451	296389.125	292306.4375	289400.25	284663.875	280206.0625	277302.3438	273706.8125	271569.8125	270655.0312	269885.5312	268605.75	267996.375	266902.6875	264756	263277.0312	260637.5469	258690.2188	256311.1875	253556.3125	250203.3594	246788.3438	242314.9844	237537.9375	231715.1719	224308.6562	216829.6719	209266.6562	202170.2812	196171.6875	190938.2188	186475.5625	182400.8906	178140.5625	173460.9219	168562.9688	162773.75	155250.625	146633.4688	136010.5938	124189.7188	111235.9375	98723.9609	86489.9531	75480.3906	66028.6094	58616.3438	53350.7891	49685.7734	47375.9453	45527.6719	43980.5312	42762.7422	41270.5078	40001.7109	38660.7773	37181.7539	35815.6094	34388.0156	32864.2227	31349.4922	29624.5859	28089.7695	26344.5352	24578.7539	22678.2793	20782.4648	19031.2871	17138.668	15379.668	13674.4277	12058.4688	10558.8691	9037.0059	7705.8447	6468.8403	5471.1738	4582.1963	3875.9185	3210.7827	2714.5024	2226.0562	1781.241	1377.9121	1004.2681	662.4752	390.0536	156.383	-39.6068	-196.4808	-354.7609	-462.2072
10	A10	naglu	SYBR	320039.3125	321075.3125	321471.6875	321961.0938	320846.9062	320266.8438	320096.375	319528.2188	318328.1875	317933.9062	316894.125	315894.75	313771.4062	312718.5938	310656.9062	308924.3125	306168	303671.1562	301613.5	298768.25	296835.9688	294231.625	291525.8125	287960.0625	285648.875	282436.6562	278858.375	276203.7812	272370.125	268457.0312	264369.4375	260079.8125	256151.3281	251985.0469	248771.8906	245862.5312	244116.7188	242655.6562	242228.6875	241520.5625	240259.8906	238585.2344	237632.5	235358.2188	233109.9062	230694.1562	228055.1094	225438.4688	222343.0938	218480.5781	213621.3125	208678.375	202541.7812	196293.1875	189004.2188	182600.0938	177407.5625	172922.5625	168985.3906	165232.5781	161635.4062	157253.4219	152563	147051.3438	140201.9219	131638.8438	121681.6875	110346.2969	98734.6875	87095.1172	76502.7109	66815.3984	59248.8047	53685.6016	49815.582	47404.2031	45697.3594	44189.1055	42937.9766	41683.1641	40283.2578	39007.7695	37662.5117	36350.8008	34807.4141	33309.6758	31759.8516	30052.873	28427.1797	26730.4961	24853.7422	22919.7773	20949.2793	19066.6016	17117.9043	15225.666	13371.7715	11623.7012	9957.4492	8317.7871	6802.4619	5391.6484	4205.6133	3212.7217	2414.5022	1715.3555	1095.6461	524.9272	36.2055	-461.4252	-886.0895	-1317.6317	-1685.5527	-1996.5051	-2225.5366	-2407.6392	-2554.6531	-2667.4143
