"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"36","12","6",1,2,8,1,6,28,5,0,2,6,26,5,2,3,0,0,52,46,98,1,54,1.02040816326531,55.1020408163265,46.9387755102041,53.0612244897959
"37","13","1",2,1,1,2,1,2,1,1,1,1,2,0,1,1,1,2,12,11,23,4,4,17.3913043478261,17.3913043478261,47.8260869565217,52.1739130434783
"38","13","2",0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,15,15,30,0,27,0,90,50,50
"39","13","3",0,0,0,0,0,32,0,0,0,0,31,0,0,0,0,0,33,33,66,0,63,0,95.4545454545455,50,50
"40","13","4",2,1,2,0,1,24,1,0,1,1,22,1,1,0,0,0,32,28,60,2,46,3.33333333333333,76.6666666666667,46.6666666666667,53.3333333333333
"41","13","5",0,1,2,4,3,1,4,1,1,6,1,1,4,1,1,1,18,17,35,1,2,2.85714285714286,5.71428571428571,48.5714285714286,51.4285714285714
"42","13","6",1,2,3,1,4,1,1,1,2,2,1,1,1,1,1,0,16,10,26,1,2,3.84615384615385,7.69230769230769,38.4615384615385,61.5384615384615
"43","14","1",11,6,12,2,12,24,3,5,5,8,24,6,1,7,5,1,76,59,135,12,48,8.88888888888889,35.5555555555556,43.7037037037037,56.2962962962963
"44","14","2",2,5,6,2,7,42,7,3,5,3,42,8,1,8,3,1,75,73,148,3,84,2.02702702702703,56.7567567567568,49.3243243243243,50.6756756756757
"45","14","3",0,0,0,0,0,30,11,0,0,1,30,11,1,11,1,0,43,56,99,0,60,0,60.6060606060606,56.5656565656566,43.4343434343434
"46","14","4",19,13,12,6,12,4,6,5,14,5,4,4,7,4,5,0,80,43,123,19,8,15.4471544715447,6.50406504065041,34.9593495934959,65.0406504065041
"47","14","5",8,5,7,4,8,13,3,5,5,6,14,4,3,5,5,4,55,47,102,12,27,11.7647058823529,26.4705882352941,46.078431372549,53.921568627451
"48","14","6",20,5,6,8,9,1,7,6,6,9,4,5,5,8,6,2,65,45,110,22,5,20,4.54545454545455,40.9090909090909,59.0909090909091
"49","15","1",14,10,7,7,6,3,7,6,10,4,2,7,7,6,6,8,61,52,113,22,5,19.4690265486726,4.42477876106195,46.0176991150442,53.9823008849558
"50","15","2",8,8,5,10,10,9,10,6,8,7,14,7,5,11,6,1,67,61,128,9,23,7.03125,17.96875,47.65625,52.34375
"51","15","3",35,9,11,4,9,6,4,4,8,7,4,4,6,2,4,1,84,37,121,36,10,29.7520661157025,8.26446280991735,30.5785123966942,69.4214876033058
"52","15","4",10,8,7,6,9,12,8,4,8,5,13,6,4,7,3,1,64,50,114,11,25,9.64912280701754,21.9298245614035,43.859649122807,56.140350877193
