* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = D:\Applied Biosystems\StepOne Software v2.3\experiments\Lardelli\Karissa\20240112 KB naglu genotyping salbutamol exp 1-3.eds
* Experiment Run End Time = 2024-01-12 07:20:34 AM PST
* Instrument Type = steponeplus
* Passive Reference = 

[Melt Region Temperature Data]
Well	Well Location	Target	Reporter Dye	Reading 1	Reading 2	Reading 3	Reading 4	Reading 5	Reading 6	Reading 7	Reading 8	Reading 9	Reading 10	Reading 11	Reading 12	Reading 13	Reading 14	Reading 15	Reading 16	Reading 17	Reading 18	Reading 19	Reading 20	Reading 21	Reading 22	Reading 23	Reading 24	Reading 25	Reading 26	Reading 27	Reading 28	Reading 29	Reading 30	Reading 31	Reading 32	Reading 33	Reading 34	Reading 35	Reading 36	Reading 37	Reading 38	Reading 39	Reading 40	Reading 41	Reading 42	Reading 43	Reading 44	Reading 45	Reading 46	Reading 47	Reading 48	Reading 49	Reading 50	Reading 51	Reading 52	Reading 53	Reading 54	Reading 55	Reading 56	Reading 57	Reading 58	Reading 59	Reading 60	Reading 61	Reading 62	Reading 63	Reading 64	Reading 65	Reading 66	Reading 67	Reading 68	Reading 69	Reading 70	Reading 71	Reading 72	Reading 73	Reading 74	Reading 75	Reading 76	Reading 77	Reading 78	Reading 79	Reading 80	Reading 81	Reading 82	Reading 83	Reading 84	Reading 85	Reading 86	Reading 87	Reading 88	Reading 89	Reading 90	Reading 91	Reading 92	Reading 93	Reading 94	Reading 95	Reading 96	Reading 97	Reading 98	Reading 99	Reading 100	Reading 101	Reading 102	Reading 103	Reading 104	Reading 105	Reading 106	Reading 107	Reading 108	Reading 109	Reading 110	Reading 111	Reading 112	Reading 113	Reading 114	Reading 115	Reading 116	Reading 117	Reading 118
11	A11	naglu	SYBR	70.1518	70.3465	70.5481	70.7546	70.9648	71.173	71.3815	71.5869	71.7922	72.0061	72.2092	72.4139	72.6198	72.8235	73.0307	73.2321	73.4399	73.6387	73.8441	74.0521	74.2537	74.4535	74.659	74.8614	75.0663	75.2699	75.4684	75.6692	75.8721	76.0745	76.2751	76.4734	76.6783	76.8803	77.087	77.2925	77.4948	77.7016	77.9083	78.1146	78.3211	78.5194	78.7262	78.9324	79.1363	79.3389	79.5438	79.7459	79.9587	80.1606	80.3662	80.5721	80.7683	80.9721	81.1732	81.3792	81.5872	81.7848	81.9949	82.1978	82.3989	82.5955	82.7973	83.0004	83.2089	83.4154	83.6159	83.816	84.0222	84.2279	84.4345	84.6393	84.8405	85.0415	85.2468	85.4509	85.6548	85.8649	86.0667	86.2709	86.4747	86.6733	86.8794	87.0866	87.2981	87.5026	87.7052	87.9073	88.1091	88.3099	88.5165	88.7162	88.9205	89.1238	89.3219	89.5276	89.7361	89.9343	90.1363	90.3412	90.5454	90.7507	90.9573	91.1664	91.3681	91.5725	91.7771	91.9797	92.1863	92.3954	92.5963	92.8042	93.0085	93.2145	93.4228	93.6278	93.8368	94.0476
12	A12	naglu	SYBR	70.1712	70.3659	70.5675	70.774	70.9842	71.1924	71.4009	71.6063	71.8116	72.0255	72.2286	72.4333	72.6392	72.8429	73.0501	73.2515	73.4593	73.6581	73.8635	74.0715	74.2731	74.4729	74.6784	74.8808	75.0857	75.2893	75.4878	75.6886	75.8915	76.0939	76.2945	76.4928	76.6977	76.8997	77.1064	77.3119	77.5142	77.721	77.9277	78.134	78.3405	78.5388	78.7456	78.9518	79.1557	79.3583	79.5632	79.7653	79.9781	80.18	80.3856	80.5915	80.7877	80.9915	81.1926	81.3986	81.6066	81.8042	82.0143	82.2172	82.4183	82.6149	82.8167	83.0198	83.2283	83.4348	83.6353	83.8354	84.0416	84.2473	84.4539	84.6587	84.8599	85.0609	85.2662	85.4703	85.6742	85.8843	86.0861	86.2903	86.4941	86.6927	86.8988	87.106	87.3175	87.522	87.7246	87.9268	88.1285	88.3293	88.5359	88.7356	88.9399	89.1432	89.3413	89.547	89.7555	89.9537	90.1557	90.3606	90.5648	90.7701	90.9767	91.1858	91.3875	91.5919	91.7965	91.9991	92.2057	92.4148	92.6157	92.8236	93.0279	93.2339	93.4422	93.6472	93.8562	94.067
13	B1	naglu	SYBR	70.0081	70.1957	70.3991	70.6047	70.8145	71.0234	71.2317	71.4377	71.6443	71.856	72.0603	72.2637	72.4714	72.673	72.8804	73.0857	73.2938	73.4925	73.696	73.9018	74.1032	74.3043	74.5083	74.7089	74.9147	75.1174	75.3169	75.5204	75.7207	75.9236	76.125	76.3247	76.5301	76.7287	76.9402	77.1444	77.348	77.553	77.7594	77.9655	78.17	78.3707	78.5767	78.7847	78.9892	79.1923	79.398	79.5991	79.8082	80.013	80.2164	80.4223	80.6201	80.8238	81.0272	81.2287	81.4372	81.6368	81.8431	82.0476	82.2489	82.4478	82.6497	82.8528	83.0598	83.2644	83.4639	83.6692	83.8739	84.0809	84.2842	84.491	84.692	84.8909	85.0964	85.3015	85.5077	85.7181	85.9167	86.1231	86.3231	86.5238	86.7291	86.9372	87.1488	87.3535	87.5559	87.7542	87.9556	88.1595	88.3642	88.5684	88.7715	88.9708	89.1768	89.3823	89.5861	89.7887	89.989	90.1936	90.3944	90.6009	90.8092	91.0158	91.2172	91.4252	91.6271	91.8291	92.041	92.2437	92.4485	92.6566	92.8567	93.0638	93.2727	93.476	93.6864	93.8964
14	B2	naglu	SYBR	70.0253	70.2129	70.4163	70.6219	70.8317	71.0406	71.2489	71.4549	71.6615	71.8732	72.0775	72.2809	72.4886	72.6902	72.8976	73.1029	73.311	73.5097	73.7132	73.919	74.1204	74.3215	74.5255	74.7261	74.9319	75.1346	75.3341	75.5376	75.7379	75.9408	76.1422	76.3419	76.5473	76.7459	76.9574	77.1616	77.3652	77.5702	77.7766	77.9827	78.1872	78.3879	78.5939	78.8019	79.0064	79.2095	79.4152	79.6163	79.8254	80.0302	80.2336	80.4395	80.6373	80.841	81.0444	81.2459	81.4544	81.654	81.8603	82.0648	82.2661	82.465	82.6669	82.87	83.077	83.2816	83.4811	83.6864	83.8911	84.0981	84.3014	84.5082	84.7092	84.9081	85.1136	85.3187	85.5249	85.7353	85.9339	86.1403	86.3403	86.541	86.7463	86.9544	87.166	87.3707	87.5731	87.7714	87.9728	88.1767	88.3814	88.5856	88.7887	88.988	89.194	89.3995	89.6033	89.8059	90.0062	90.2108	90.4116	90.6181	90.8264	91.033	91.2344	91.4424	91.6443	91.8463	92.0582	92.2609	92.4657	92.6738	92.8739	93.081	93.2899	93.4932	93.7036	93.9136
15	B3	naglu	SYBR	70.0351	70.2226	70.4298	70.6339	70.841	71.0519	71.2633	71.47	71.6731	71.8859	72.0913	72.2941	72.5007	72.7042	72.9138	73.1155	73.3233	73.5252	73.728	73.9328	74.1316	74.3357	74.5402	74.7454	74.9507	75.153	75.3522	75.5563	75.7568	75.9584	76.1602	76.3589	76.5626	76.7669	76.9736	77.1778	77.3823	77.5904	77.7957	78.0042	78.2054	78.4081	78.6164	78.8204	79.0233	79.2283	79.4347	79.6384	79.8463	80.0495	80.2554	80.4632	80.6596	80.8607	81.0657	81.2682	81.4776	81.677	81.8827	82.0884	82.2902	82.489	82.6913	82.8943	83.1015	83.3058	83.5061	83.709	83.9164	84.1227	84.3271	84.5345	84.7366	84.9349	85.1382	85.3476	85.5536	85.7624	85.9626	86.1693	86.3709	86.5672	86.7746	86.9833	87.1933	87.3972	87.5998	87.8018	88.0011	88.2044	88.4104	88.6119	88.8155	89.0174	89.2221	89.4264	89.6324	89.8318	90.0335	90.2389	90.4411	90.648	90.8559	91.0661	91.2656	91.4716	91.6755	91.8773	92.0864	92.2925	92.4962	92.7058	92.9061	93.1124	93.3221	93.5242	93.7395	93.9467
16	B4	naglu	SYBR	70.0518	70.2393	70.4465	70.6506	70.8577	71.0686	71.28	71.4867	71.6898	71.9026	72.108	72.3108	72.5174	72.7209	72.9305	73.1322	73.34	73.5419	73.7447	73.9495	74.1483	74.3524	74.5569	74.7621	74.9674	75.1697	75.3689	75.573	75.7735	75.9751	76.1769	76.3756	76.5793	76.7836	76.9903	77.1945	77.399	77.6071	77.8124	78.0209	78.2221	78.4248	78.6331	78.8371	79.04	79.245	79.4514	79.6551	79.863	80.0662	80.2721	80.4799	80.6763	80.8774	81.0824	81.2849	81.4943	81.6937	81.8994	82.1051	82.3069	82.5057	82.708	82.911	83.1182	83.3225	83.5228	83.7257	83.9331	84.1394	84.3438	84.5512	84.7533	84.9516	85.1549	85.3643	85.5703	85.7791	85.9793	86.186	86.3876	86.5839	86.7913	87	87.21	87.4139	87.6165	87.8185	88.0178	88.2211	88.4271	88.6286	88.8322	89.0341	89.2388	89.4431	89.6491	89.8485	90.0502	90.2556	90.4578	90.6647	90.8726	91.0828	91.2823	91.4883	91.6922	91.894	92.1031	92.3092	92.5129	92.7225	92.9228	93.1291	93.3388	93.5409	93.7562	93.9634
17	B5	naglu	SYBR	70.0581	70.2511	70.4561	70.6604	70.8692	71.0798	71.288	71.4944	71.7002	71.9105	72.1145	72.3193	72.527	72.7303	72.9399	73.1416	73.3504	73.5494	73.7553	73.9586	74.1604	74.3614	74.5662	74.7699	74.9745	75.1787	75.3769	75.5777	75.78	75.9825	76.1862	76.3858	76.5899	76.7906	76.9992	77.1992	77.4076	77.6139	77.822	78.0308	78.2348	78.4328	78.6418	78.8477	79.0512	79.2544	79.4596	79.6613	79.8705	80.0739	80.2793	80.4888	80.6837	80.8862	81.0906	81.2938	81.4994	81.7015	81.9056	82.114	82.3122	82.5134	82.7155	82.919	83.1258	83.3322	83.5337	83.7353	83.9401	84.1467	84.3518	84.5592	84.7583	84.9607	85.1637	85.3696	85.5766	85.7859	85.9879	86.1922	86.3949	86.5919	86.8001	87.0103	87.2189	87.4243	87.6267	87.8281	88.0277	88.2315	88.4377	88.6368	88.8422	89.0413	89.2466	89.4516	89.6561	89.8579	90.0591	90.2645	90.468	90.6733	90.8834	91.0897	91.2887	91.4945	91.7	91.9047	92.112	92.3169	92.5202	92.7278	92.9285	93.1396	93.342	93.5493	93.7609	93.9693
18	B6	naglu	SYBR	70.0747	70.2677	70.4727	70.677	70.8858	71.0964	71.3046	71.511	71.7168	71.9271	72.1311	72.3359	72.5436	72.7469	72.9565	73.1582	73.367	73.566	73.7719	73.9752	74.177	74.378	74.5828	74.7865	74.9911	75.1953	75.3935	75.5943	75.7966	75.9991	76.2028	76.4024	76.6065	76.8072	77.0158	77.2158	77.4242	77.6305	77.8386	78.0474	78.2514	78.4494	78.6584	78.8643	79.0678	79.271	79.4762	79.6779	79.8871	80.0905	80.2959	80.5054	80.7003	80.9028	81.1072	81.3104	81.516	81.7181	81.9222	82.1306	82.3288	82.53	82.7321	82.9356	83.1424	83.3488	83.5503	83.7519	83.9567	84.1633	84.3684	84.5758	84.7749	84.9773	85.1803	85.3862	85.5932	85.8025	86.0045	86.2088	86.4115	86.6085	86.8167	87.0269	87.2355	87.4409	87.6433	87.8447	88.0443	88.2481	88.4543	88.6534	88.8588	89.0579	89.2632	89.4682	89.6727	89.8745	90.0757	90.2811	90.4846	90.6899	90.9	91.1063	91.3053	91.5111	91.7166	91.9213	92.1286	92.3335	92.5368	92.7444	92.9451	93.1562	93.3586	93.5659	93.7775	93.9859
19	B7	naglu	SYBR	70.0974	70.2885	70.4933	70.6952	70.9067	71.1167	71.3241	71.5307	71.7334	71.9426	72.1461	72.3537	72.5583	72.7626	72.9725	73.173	73.3803	73.5788	73.7845	73.9864	74.1869	74.3877	74.5965	74.8025	75.0036	75.2066	75.4033	75.6089	75.8096	76.0097	76.2119	76.4112	76.6134	76.8154	77.0229	77.2272	77.4321	77.6377	77.842	78.0477	78.2524	78.4552	78.6604	78.8682	79.0724	79.2746	79.48	79.6846	79.8902	80.0939	80.2993	80.5066	80.7039	80.9043	81.1073	81.3091	81.5172	81.7175	81.9238	82.1279	82.3323	82.5295	82.7309	82.9334	83.1408	83.3454	83.5472	83.7477	83.9529	84.1568	84.3614	84.5688	84.7711	84.9679	85.1773	85.3812	85.5863	85.7952	85.996	86.1998	86.4025	86.6015	86.8071	87.0154	87.2245	87.4305	87.6313	87.8292	88.0314	88.2338	88.4403	88.6403	88.8464	89.0451	89.2494	89.4519	89.6585	89.8609	90.0626	90.2642	90.4667	90.6719	90.8806	91.0868	91.2905	91.4953	91.6996	91.8997	92.1099	92.3125	92.5196	92.7256	92.9284	93.1323	93.3385	93.545	93.7569	93.9636
20	B8	naglu	SYBR	70.114	70.3051	70.5099	70.7118	70.9233	71.1333	71.3407	71.5473	71.75	71.9592	72.1627	72.3703	72.5749	72.7792	72.9891	73.1896	73.3969	73.5954	73.8011	74.003	74.2035	74.4043	74.6131	74.8191	75.0202	75.2232	75.4199	75.6255	75.8262	76.0263	76.2285	76.4278	76.63	76.832	77.0395	77.2438	77.4487	77.6543	77.8586	78.0643	78.269	78.4718	78.677	78.8848	79.089	79.2912	79.4966	79.7012	79.9068	80.1105	80.3159	80.5232	80.7205	80.9209	81.1239	81.3257	81.5338	81.7341	81.9404	82.1445	82.3489	82.5461	82.7475	82.95	83.1574	83.362	83.5638	83.7643	83.9695	84.1734	84.378	84.5854	84.7877	84.9845	85.1939	85.3978	85.6029	85.8118	86.0126	86.2164	86.4191	86.6181	86.8237	87.032	87.2411	87.4471	87.6479	87.8458	88.048	88.2504	88.4569	88.6569	88.863	89.0617	89.266	89.4685	89.6751	89.8775	90.0792	90.2808	90.4833	90.6885	90.8972	91.1034	91.3071	91.5119	91.7162	91.9163	92.1265	92.3291	92.5362	92.7422	92.945	93.1489	93.3551	93.5616	93.7735	93.9802
