"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.973,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,35.1,22.3,9.5,0.0,78.5,0.0,0.0,0.0,61.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,37.9,0.0,0.0,50.7,0.0,0.0,7.8,0.0,0.0,26.7,0.0
31.973,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
31.973,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.499,0.346,0.133,0.000,0.979,0.000,0.000,0.000,0.978,0.000,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.977,0.000,0.000,0.976,0.000,0.000,0.799,0.000,0.000,0.176,0.000,0.000,0.975,0.000
32.974,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,23.4,0.0,0.0,15.6,0.0,0.0,0.0,21.7,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,27.8,0.0,0.0,8.4,0.0,0.0,0.0,0.0,38.4,12.8,0.0,0.0,12.2,0.0
32.974,2.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
32.974,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.678,0.322,0.000,0.000,1.000,0.000
33.975,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,8.4,0.0,0.0,41.2,86.9,0.0,0.0,22.3,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,8.9,0.0,0.0,75.7,0.0,0.0,0.0,0.0,57.4,5.0,0.0,0.0,3.9,0.0
33.975,3.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
33.976,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,1.000,0.000,0.000,0.184,0.815,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.887,0.112,0.000,0.000,1.000,0.000
34.976,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,25.1,0.0,0.0,42.3,85.7,0.0,0.0,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,54.6,0.0,0.0,44.5,0.0,0.0,15.6,0.0,0.0,11.7,0.0
