"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.898,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,11.7,92.4,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.7,12.2,6.1,0.0,22.8,0.0,0.0,0.0,31.2,0.0,0.0
31.898,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
31.898,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.980,0.000,0.000,0.033,0.913,0.000,0.033,0.000,0.000,0.979,0.000,0.000,0.978,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.732,0.144,0.100,0.000,0.976,0.000,0.000,0.000,0.976,0.000,0.000
32.899,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,85.2,11.7,0.0,3.9,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,74.6,0.0,0.0,13.4,0.0,0.0,0.0,13.4,0.0,0.0
32.899,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
32.899,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.948,0.018,0.000,0.033,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
33.900,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,9.5,0.0,0.0,0.0,0.0,30.1,11.1,15.0,0.0,20.6,0.0,0.0,0.0,8.4,0.0,0.0
33.900,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
33.900,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.746,0.053,0.200,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
34.901,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,30.6,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,37.3,0.0,0.0,24.5,0.0,0.0,0.0,33.4,8.9,0.0,11.7,11.1,23.9,0.0,8.9,0.0,25.1,0.0,0.0
34.901,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0
34.901,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.747,0.118,0.000,0.133,0.147,0.586,0.000,0.266,0.000,1.000,0.000,0.000
35.902,5.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,52.3,0.0,9.5,29.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,3.9,0.0,0.0
35.902,5.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
35.902,5.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.150,0.616,0.000,0.233,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
36.903,6.000,"TOTAL_DISTANCE_IN_ZONE",0.0,7.8,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,30.6,0.0,0.0,0.0,20.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.903,6.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
36.903,6.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
37.904,7.000,"TOTAL_DISTANCE_IN_ZONE",0.0,3.9,0.0,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,20.6,0.0,0.0,0.0,36.2,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,4.5,0.0,0.0
37.904,7.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
37.904,7.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
38.905,8.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,0.0,0.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,0.0,0.0,0.0,22.3,0.0,0.0,0.0,39.5,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,3.9,0.0,0.0
38.905,8.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
38.905,8.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
